year,week,table_index,row_index,side,fantasy_team,opponent,matchup_id,player,player_position,lineup_slot,is_starter,is_bench,is_ir,projected_points,fantasy_points,stat_summary,raw_player_text,raw_position,raw_cells,matchup_number,yahoo_team_id_used,team_score,opponent_score
2020,1,1,0,left,Malle ❤️ 🐸,The Big Gronkowski,2020-W01-M01,Drew Brees,QB,QB,True,False,False,23.15,18.4,,Drew Brees,QB,"["""", ""Drew Brees"", ""23.15"", ""18.40"", ""QB"", ""QB"", ""QB"", ""26.46"", ""23.64"", ""Tom Brady"", """"]",1,1,85.4,147.86
2020,1,1,0,right,The Big Gronkowski,Malle ❤️ 🐸,2020-W01-M01,Tom Brady,QB,QB,True,False,False,23.64,26.46,,Tom Brady,QB,"["""", ""Drew Brees"", ""23.15"", ""18.40"", ""QB"", ""QB"", ""QB"", ""26.46"", ""23.64"", ""Tom Brady"", """"]",1,1,147.86,85.4
2020,1,1,1,left,Malle ❤️ 🐸,The Big Gronkowski,2020-W01-M01,Allen Robinson,WR,WR,True,False,False,13.0,9.8,,Allen Robinson,WR,"["""", ""Allen Robinson"", ""13.00"", ""9.80"", ""WR"", ""WR"", ""WR"", ""28.00"", ""12.91"", ""Adam Thielen"", """"]",1,1,85.4,147.86
2020,1,1,1,right,The Big Gronkowski,Malle ❤️ 🐸,2020-W01-M01,Adam Thielen,WR,WR,True,False,False,12.91,28.0,,Adam Thielen,WR,"["""", ""Allen Robinson"", ""13.00"", ""9.80"", ""WR"", ""WR"", ""WR"", ""28.00"", ""12.91"", ""Adam Thielen"", """"]",1,1,147.86,85.4
2020,1,1,2,left,Malle ❤️ 🐸,The Big Gronkowski,2020-W01-M01,Cooper Kupp,WR,WR,True,False,False,12.68,6.0,,Cooper Kupp,WR,"["""", ""Cooper Kupp"", ""12.68"", ""6.00"", ""WR"", ""WR"", ""WR"", ""29.40"", ""13.00"", ""Calvin Ridley"", """"]",1,1,85.4,147.86
2020,1,1,2,right,The Big Gronkowski,Malle ❤️ 🐸,2020-W01-M01,Calvin Ridley,WR,WR,True,False,False,13.0,29.4,,Calvin Ridley,WR,"["""", ""Cooper Kupp"", ""12.68"", ""6.00"", ""WR"", ""WR"", ""WR"", ""29.40"", ""13.00"", ""Calvin Ridley"", """"]",1,1,147.86,85.4
2020,1,1,3,left,Malle ❤️ 🐸,The Big Gronkowski,2020-W01-M01,Dalvin Cook,RB,RB,True,False,False,17.35,21.3,,Dalvin Cook,RB,"["""", ""Dalvin Cook"", ""17.35"", ""21.30"", ""RB"", ""RB"", ""RB"", ""21.20"", ""18.81"", ""Alvin Kamara"", """"]",1,1,85.4,147.86
2020,1,1,3,right,The Big Gronkowski,Malle ❤️ 🐸,2020-W01-M01,Alvin Kamara,RB,RB,True,False,False,18.81,21.2,,Alvin Kamara,RB,"["""", ""Dalvin Cook"", ""17.35"", ""21.30"", ""RB"", ""RB"", ""RB"", ""21.20"", ""18.81"", ""Alvin Kamara"", """"]",1,1,147.86,85.4
2020,1,1,4,left,Malle ❤️ 🐸,The Big Gronkowski,2020-W01-M01,James Conner,RB,RB,True,False,False,15.04,2.7,,James Conner,RB,"["""", ""James Conner"", ""15.04"", ""2.70"", ""RB"", ""RB"", ""RB"", ""6.70"", ""8.32"", ""Jordan Howard"", """"]",1,1,85.4,147.86
2020,1,1,4,right,The Big Gronkowski,Malle ❤️ 🐸,2020-W01-M01,Jordan Howard,RB,RB,True,False,False,8.32,6.7,,Jordan Howard,RB,"["""", ""James Conner"", ""15.04"", ""2.70"", ""RB"", ""RB"", ""RB"", ""6.70"", ""8.32"", ""Jordan Howard"", """"]",1,1,147.86,85.4
